Age,1-Apr-10,,,,,,Population Estimate (as of July 1),,,,,,,,,,,,,,,,,,,,,,,,
,Census,,,Estimates Base,,,2010,,,2011,,,2012,,,2013,,,,2014,,,2015,,,2016,,,2017,,
,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female
Total,"308,745,538","151,781,326","156,964,212","308,758,105","151,788,777","156,969,328","309,338,421","152,082,993","157,255,428","311,644,280","153,242,210","158,402,070","313,993,272","154,452,348","159,540,924","316,234,505","155,596,820","160,637,685","160,637,685","318,622,525","156,807,419","161,815,106","321,039,839","158,048,153","162,991,686","323,405,935","159,243,817","164,162,118","325,719,178","160,408,119","165,311,059"
24,"4,249,363","2,164,063","2,085,300","4,249,609","2,164,238","2,085,371","4,243,224","2,161,164","2,082,060","4,242,863","2,160,853","2,082,010","4,343,285","2,213,084","2,130,201","4,473,760","2,281,368","2,192,392","2,192,392","4,688,618","2,390,781","2,297,837","4,729,252","2,415,482","2,313,770","4,676,663","2,399,677","2,276,986","4,587,515","2,358,826","2,228,689"
25,"4,262,350","2,161,308","2,101,042","4,262,583","2,161,475","2,101,108","4,289,018","2,176,947","2,112,071","4,268,587","2,169,984","2,098,603","4,272,877","2,174,709","2,098,168","4,371,120","2,225,071","2,146,049","2,146,049","4,503,882","2,294,465","2,209,417","4,722,239","2,406,023","2,316,216","4,763,194","2,430,677","2,332,517","4,708,854","2,413,370","2,295,484"
26,"4,152,305","2,097,088","2,055,217","4,152,598","2,097,305","2,055,293","4,160,508","2,102,167","2,058,341","4,312,376","2,184,786","2,127,590","4,297,039","2,183,136","2,113,903","4,299,622","2,186,030","2,113,592","2,113,592","4,400,262","2,237,805","2,162,457","4,536,357","2,309,039","2,227,318","4,754,096","2,419,961","2,334,135","4,794,326","2,443,974","2,350,352"
27,"4,248,869","2,140,651","2,108,218","4,249,132","2,140,841","2,108,291","4,236,809","2,135,066","2,101,743","4,182,321","2,109,556","2,072,765","4,338,729","2,196,510","2,142,219","4,322,526","2,194,102","2,128,424","2,128,424","4,328,101","2,198,515","2,129,586","4,432,055","2,252,182","2,179,873","4,567,423","2,322,801","2,244,622","4,784,135","2,432,679","2,351,456"
28,"4,215,249","2,118,605","2,096,644","4,215,502","2,118,796","2,096,706","4,247,376","2,134,882","2,112,494","4,257,105","2,141,933","2,115,172","4,206,443","2,120,231","2,086,212","4,361,578","2,206,131","2,155,447","2,155,447","4,348,951","2,205,858","2,143,093","4,358,168","2,212,551","2,145,617","4,461,130","2,265,271","2,195,859","4,595,406","2,335,023","2,260,383"
29,"4,223,076","2,117,939","2,105,137","4,223,292","2,118,098","2,105,194","4,210,139","2,112,199","2,097,940","4,265,555","2,141,133","2,124,422","4,279,311","2,152,115","2,127,196","4,228,116","2,129,646","2,098,470","2,098,470","4,386,181","2,217,185","2,168,996","4,377,349","2,219,428","2,157,921","4,385,585","2,225,093","2,160,492","4,487,739","2,277,184","2,210,555"
30,"4,285,668","2,160,802","2,124,866","4,285,877","2,160,945","2,124,932","4,304,114","2,167,383","2,136,731","4,226,341","2,117,767","2,108,574","4,285,186","2,150,062","2,135,124","4,299,431","2,160,851","2,138,580","2,138,580","4,251,419","2,140,036","2,111,383","4,412,626","2,229,642","2,182,984","4,403,377","2,231,452","2,171,925","4,410,631","2,236,352","2,174,279"
31,"3,970,218","1,988,155","1,982,063","3,970,416","1,988,284","1,982,132","4,042,424","2,026,371","2,016,053","4,318,453","2,172,280","2,146,173","4,243,591","2,125,530","2,118,061","4,302,255","2,157,601","2,144,654","2,144,654","4,319,291","2,169,862","2,149,429","4,274,952","2,151,514","2,123,438","4,434,930","2,240,172","2,194,758","4,425,408","2,241,759","2,183,649"
32,"3,986,847","1,994,476","1,992,371","3,987,041","1,994,606","1,992,435","3,967,447","1,986,066","1,981,381","4,054,769","2,030,450","2,024,319","4,333,504","2,179,088","2,154,416","4,258,685","2,132,311","2,126,374","2,126,374","4,319,429","2,165,566","2,153,863","4,339,718","2,179,910","2,159,808","4,294,385","2,160,786","2,133,599","4,453,718","2,248,948","2,204,770"
33,"3,880,150","1,936,863","1,943,287","3,880,318","1,936,983","1,943,335","3,933,404","1,963,538","1,969,866","3,978,681","1,989,890","1,988,791","4,067,769","2,036,032","2,031,737","4,346,508","2,184,629","2,161,879","2,161,879","4,273,924","2,139,060","2,134,864","4,337,144","2,173,981","2,163,163","4,356,692","2,187,596","2,169,096","4,310,977","2,168,114","2,142,863"
34,"3,839,216","1,916,204","1,923,012","3,839,372","1,916,311","1,923,061","3,822,120","1,908,680","1,913,440","3,943,239","1,966,539","1,976,700","3,990,632","1,995,034","1,995,598","4,078,962","2,040,517","2,038,445","2,038,445","4,359,882","2,190,278","2,169,604","4,289,883","2,146,424","2,143,459","4,352,115","2,180,528","2,171,587","4,371,478","2,193,958","2,177,520"
35,"3,956,434","1,980,916","1,975,518","3,956,625","1,981,032","1,975,593","3,948,190","1,974,538","1,973,652","3,831,104","1,911,379","1,919,725","3,953,998","1,971,146","1,982,852","4,000,897","1,999,123","2,001,774","2,001,774","4,090,363","2,045,277","2,045,086","4,373,944","2,196,753","2,177,191","4,303,181","2,152,316","2,150,865","4,364,947","2,185,895","2,179,052"
36,"3,802,087","1,890,595","1,911,492","3,802,236","1,890,693","1,911,543","3,830,090","1,907,310","1,922,780","3,955,372","1,976,370","1,979,002","3,840,281","1,914,957","1,925,324","3,962,434","1,973,976","1,988,458","1,988,458","4,010,887","2,002,972","2,007,915","4,102,517","2,050,541","2,051,976","4,385,025","2,201,058","2,183,967","4,313,987","2,156,347","2,157,640"
37,"3,934,445","1,953,386","1,981,059","3,934,593","1,953,488","1,981,105","3,896,623","1,934,423","1,962,200","3,836,098","1,908,617","1,927,481","3,963,305","1,979,319","1,983,986","3,847,788","1,917,365","1,930,423","1,930,423","3,971,081","1,977,004","1,994,077","4,021,765","2,007,403","2,014,362","4,112,091","2,053,905","2,058,186","4,394,351","2,204,181","2,190,170"
38,"4,121,880","2,049,720","2,072,160","4,122,089","2,049,866","2,072,223","4,080,090","2,027,938","2,052,152","3,901,363","1,935,048","1,966,315","3,842,912","1,911,000","1,931,912","3,969,573","1,981,161","1,988,412","1,988,412","3,855,833","1,920,085","1,935,748","3,980,639","1,980,685","1,999,954","4,030,605","2,010,506","2,020,099","4,120,468","2,056,619","2,063,849"
39,"4,364,796","2,167,405","2,197,391","4,364,949","2,167,500","2,197,449","4,324,292","2,148,612","2,175,680","4,083,814","2,028,305","2,055,509","3,906,612","1,936,592","1,970,020","3,848,177","1,912,563","1,935,614","1,935,614","3,976,512","1,983,591","1,992,921","3,864,518","1,923,457","1,941,061","3,988,387","1,983,297","2,005,090","4,038,244","2,012,943","2,025,301"
40,"4,383,274","2,191,249","2,192,025","4,383,450","2,191,367","2,192,083","4,387,318","2,189,414","2,197,904","4,325,717","2,147,521","2,178,196","4,087,369","2,028,979","2,058,390","3,910,240","1,937,311","1,972,929","1,972,929","3,853,387","1,914,280","1,939,107","3,983,367","1,986,244","1,997,123","3,870,893","1,925,676","1,945,217","3,994,423","1,985,267","2,009,156"
41,"4,114,985","2,047,818","2,067,167","4,115,155","2,047,931","2,067,224","4,163,365","2,073,839","2,089,526","4,386,968","2,187,174","2,199,794","4,327,314","2,147,182","2,180,132","4,089,720","2,029,038","2,060,682","2,060,682","3,913,779","1,938,061","1,975,718","3,858,785","1,916,197","1,942,588","3,987,834","1,987,407","2,000,427","3,875,738","1,927,055","1,948,683"
42,"4,076,104","2,028,653","2,047,451","4,076,260","2,028,755","2,047,505","4,082,649","2,031,729","2,050,920","4,162,181","2,071,521","2,090,660","4,386,985","2,185,932","2,201,053","4,327,551","2,145,927","2,181,624","2,181,624","4,091,708","2,028,936","2,062,772","3,917,161","1,938,713","1,978,448","3,861,852","1,916,498","1,945,354","3,990,700","1,987,507","2,003,193"
43,"4,105,105","2,035,990","2,069,115","4,105,285","2,036,118","2,069,167","4,093,719","2,030,919","2,062,800","4,080,591","2,029,064","2,051,527","4,161,015","2,069,526","2,091,489","4,385,208","2,183,433","2,201,775","2,201,775","4,327,303","2,144,601","2,182,702","4,093,397","2,028,719","2,064,678","3,918,537","1,938,208","1,980,329","3,863,455","1,916,102","1,947,353"
44,"4,211,496","2,090,267","2,121,229","4,211,684","2,090,388","2,121,296","4,178,367","2,074,495","2,103,872","4,090,705","2,027,720","2,062,985","4,078,611","2,026,565","2,052,046","4,158,497","2,066,682","2,091,815","2,091,815","4,383,470","2,181,105","2,202,365","4,327,295","2,143,475","2,183,820","4,093,328","2,027,424","2,065,904","3,919,057","1,937,184","1,981,873"
