Year.id,Year.display-label,Sex.id,Sex.display-label,Hisp.id,Hisp.display-label,GEO.id,GEO.id2,GEO.display-label,totpop,wa,ba,ia,aa,na,tom
Id,Year,Id,Sex,Id,Hispanic Origin,Id,Id2,Geography,Total,Race Alone - White,Race Alone - Black or African American,Race Alone - American Indian and Alaska Native,Race Alone - Asian,Race Alone - Native Hawaiian and Other Pacific Islander,Two or More Races
est72012,"July 1, 2012",male,Male,tothisp,Total,0400000US42,42,Pennsylvania,6235345,5212030,703504,21649,187455,3860,106847
est72012,"July 1, 2012",totsex,Both Sexes,hisp,Hispanic,0400000US42,42,Pennsylvania,787586,602473,111056,24802,7768,4642,36845
est72012,"July 1, 2012",totsex,Both Sexes,nhisp,Not Hispanic,0400000US42,42,Pennsylvania,11980448,10041074,1354549,17650,381476,3210,182489
est72012,"July 1, 2012",totsex,Both Sexes,tothisp,Total,0400000US42,42,Pennsylvania,12768034,10643547,1465605,42452,389244,7852,219334
est72013,"July 1, 2013",female,Female,hisp,Hispanic,0400000US42,42,Pennsylvania,397917,300959,58466,12429,4049,2439,19575
est72013,"July 1, 2013",female,Female,nhisp,Not Hispanic,0400000US42,42,Pennsylvania,6134033,5112123,709181,9039,205114,1761,96815
est72013,"July 1, 2013",female,Female,tothisp,Total,0400000US42,42,Pennsylvania,6531950,5413082,767647,21468,209163,4200,116390
est72013,"July 1, 2013",male,Male,hisp,Hispanic,0400000US42,42,Pennsylvania,415705,318892,57764,13403,4128,2403,19115
est72013,"July 1, 2013",male,Male,nhisp,Not Hispanic,0400000US42,42,Pennsylvania,5830795,4885323,653246,8802,189960,1636,91828
est72013,"July 1, 2013",male,Male,tothisp,Total,0400000US42,42,Pennsylvania,6246500,5204215,711010,22205,194088,4039,110943
est72013,"July 1, 2013",totsex,Both Sexes,hisp,Hispanic,0400000US42,42,Pennsylvania,813622,619851,116230,25832,8177,4842,38690
est72013,"July 1, 2013",totsex,Both Sexes,nhisp,Not Hispanic,0400000US42,42,Pennsylvania,11964828,9997446,1362427,17841,395074,3397,188643
est72013,"July 1, 2013",totsex,Both Sexes,tothisp,Total,0400000US42,42,Pennsylvania,12778450,10617297,1478657,43673,403251,8239,227333
est72014,"July 1, 2014",female,Female,hisp,Hispanic,0400000US42,42,Pennsylvania,412630,311305,61014,12835,4345,2547,20584
est72014,"July 1, 2014",female,Female,nhisp,Not Hispanic,0400000US42,42,Pennsylvania,6122705,5087608,711993,9083,212679,1858,99484
est72014,"July 1, 2014",female,Female,tothisp,Total,0400000US42,42,Pennsylvania,6535335,5398913,773007,21918,217024,4405,120068
