State,Age,2010,2011,2012,2013,2014,,,Childhood (0Ð19),,,,,Young adult (20Ð39),,,,,Middle-aged adult (40Ð64,,,,,Senior years (65Ð84),,,,,Old (>85),,,,
California,10 to 14 years,"2,584,224","2,563,681","2,539,386","2,527,672","2,526,046",,,,,,,,,,,,,,,,,,,,,,,,,,,
California,15 to 19 years,"2,808,653","2,748,030","2,702,537","2,660,411","2,621,049",,,,,,,,,,,,,,,,,,,,,,,,,,,
California,20 to 24 years,"2,785,504","2,862,193","2,915,099","2,926,032","2,921,844",,,,,,,,,,,,,,,,,,,,,,,,,,,
California,25 to 29 years,"2,749,352","2,776,203","2,800,081","2,842,478","2,914,017",,,,,,,,,,,,,,,,,,,,,,,,,,,
California,30 to 34 years,"2,585,303","2,639,016","2,697,289","2,757,449","2,807,410",,,,,,,,,,,,,,,,,,,,,,,,,,,
California,35 to 39 years,"2,564,030","2,522,809","2,520,139","2,533,145","2,560,490",,,,,,,,,,,,,,,,,,,,,,,,,,,
California,40 to 44 years,"2,613,246","2,637,486","2,643,122","2,628,325","2,598,821",,,,,,,,,,,,,,,,,,,,,,,,,,,
California,45 to 49 years,"2,683,147","2,648,720","2,614,862","2,586,208","2,569,031",,,,,,,,,,,,,,,,,,,,,,,,,,,
California,50 to 54 years,"2,572,100","2,604,873","2,620,528","2,635,384","2,648,886",,,,,,,,,,,,,,,,,,,,,,,,,,,
California,55 to 59 years,"2,220,469","2,284,335","2,352,815","2,407,215","2,446,810",,,,,,,,,,,,,,,,,,,,,,,,,,,
California,60 to 64 years,"1,851,925","1,940,750","1,956,137","2,001,551","2,059,250",,,,,,,,,,,,,,,,,,,,,,,,,,,
California,65 to 69 years,"1,316,361","1,370,821","1,492,548","1,571,281","1,654,775",,,,,,,,,,,,,,,,,,,,,,,,,,,
California,70 to 74 years,"978,739","1,009,836","1,051,858","1,110,762","1,163,582",,,,,,,,,,,,,,,,,,,,,,,,,,,
California,75 to 79 years,"767,254","777,239","792,585","815,036","842,110",,,,,,,,,,,,,,,,,,,,,,,,,,,
California,80 to 84 years,"605,073","609,475","612,987","616,518","621,007",,,,,,,,,,,,,,,,,,,,,,,,,,,
California,85 years and over,"606,864","628,779","649,713","667,219","686,439",,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,collapse this categoryTotal,"5,048,029","5,116,411","5,186,330","5,262,556","5,342,311",,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,Under 5 years,"344,032","341,434","337,720","334,332","333,700",,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,5 to 9 years,"348,888","351,272","354,397","355,953","355,180",,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,10 to 14 years,"333,890","339,317","343,065","348,470","353,958",,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,15 to 19 years,"341,142","340,963","339,157","339,489","342,147",,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,20 to 24 years,"350,168","355,046","361,346","368,333","374,333",,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,25 to 29 years,"373,609","379,554","384,663","389,859","397,946",,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,30 to 34 years,"356,284","367,540","378,550","389,290","398,852",,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,35 to 39 years,"352,323","346,209","347,371","353,374","361,966",,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,40 to 44 years,"347,920","356,577","362,076","364,012","362,287",,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,45 to 49 years,"369,673","359,064","350,435","344,797","343,619",,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,50 to 54 years,"371,894","375,056","374,997","374,346","372,279",,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,55 to 59 years,"330,669","339,057","347,719","353,819","358,851",,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,60 to 64 years,"273,152","290,271","293,756","302,763","311,807",,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,65 to 69 years,"184,615","193,803","215,919","230,331","245,409",,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,70 to 74 years,"128,716","134,527","142,239","153,275","162,370",,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,75 to 79 years,"97,135","98,735","101,206","105,056","109,307",,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,80 to 84 years,"73,594","74,967","76,093","76,893","77,655",,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,85 years and over,"70,325","73,019","75,621","78,164","80,645",,,,,,,,,,,,,,,,,,,,,,,,,,,
Conneticut,collapse this categoryTotal,"3,580,171","3,591,927","3,597,705","3,602,470","3,600,188",,,,,,,,,,,,,,,,,,,,,,,,,,,
Conneticut,Under 5 years,"201,301","197,965","194,306","190,707","188,459",,,,,,,,,,,,,,,,,,,,,,,,,,,
Conneticut,5 to 9 years,"221,863","219,604","217,632","214,705","210,157",,,,,,,,,,,,,,,,,,,,,,,,,,,
Conneticut,10 to 14 years,"239,643","237,952","234,551","231,973","228,733",,,,,,,,,,,,,,,,,,,,,,,,,,,
Conneticut,15 to 19 years,"253,642","257,253","257,237","254,325","252,233",,,,,,,,,,,,,,,,,,,,,,,,,,,
Conneticut,20 to 24 years,"229,324","230,121","232,861","238,865","244,491",,,,,,,,,,,,,,,,,,,,,,,,,,,
Conneticut,25 to 29 years,"215,153","218,229","219,341","220,885","220,672",,,,,,,,,,,,,,,,,,,,,,,,,,,
Conneticut,30 to 34 years,"207,056","210,879","214,312","217,075","218,208",,,,,,,,,,,,,,,,,,,,,,,,,,,
Conneticut,35 to 39 years,"220,347","211,459","207,708","207,094","208,038",,,,,,,,,,,,,,,,,,,,,,,,,,,
Conneticut,40 to 44 years,"260,501","255,790","249,175","240,912","230,822",,,,,,,,,,,,,,,,,,,,,,,,,,,
Conneticut,45 to 49 years,"290,568","285,109","278,630","270,817","261,907",,,,,,,,,,,,,,,,,,,,,,,,,,,
Conneticut,50 to 54 years,"285,008","288,084","287,609","286,126","284,964",,,,,,,,,,,,,,,,,,,,,,,,,,,
Conneticut,55 to 59 years,"242,336","250,174","258,020","264,565","268,598",,,,,,,,,,,,,,,,,,,,,,,,,,,
Conneticut,60 to 64 years,"204,625","211,827","209,934","213,489","219,033",,,,,,,,,,,,,,,,,,,,,,,,,,,
Conneticut,65 to 69 years,"150,752","156,189","169,091","173,708","179,065",,,,,,,,,,,,,,,,,,,,,,,,,,,
Conneticut,70 to 74 years,"106,236","109,334","114,870","123,766","130,036",,,,,,,,,,,,,,,,,,,,,,,,,,,
Conneticut,75 to 79 years,"88,878","88,115","88,235","89,424","91,310",,,,,,,,,,,,,,,,,,,,,,,,,,,
Conneticut,80 to 84 years,"77,486","76,749","75,415","73,892","72,491",,,,,,,,,,,,,,,,,,,,,,,,,,,
Conneticut,85 years and over,"85,452","87,094","88,778","90,142","90,971",,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,collapse this categoryTotal,"899,712","907,884","916,868","925,114","934,805",,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,Under 5 years,"55,894","55,914","55,989","55,534","55,414",,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,5 to 9 years,"56,426","56,350","56,753","56,729","56,645",,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,10 to 14 years,"56,871","57,160","57,105","57,065","57,138",,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,15 to 19 years,"64,084","62,617","61,579","60,459","59,768",,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,20 to 24 years,"63,264","65,017","66,169","65,805","64,686",,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,25 to 29 years,"57,758","58,479","59,365","61,346","63,966",,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,30 to 34 years,"54,215","55,878","57,418","58,487","59,169",,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,35 to 39 years,"54,872","52,914","52,058","52,451","53,677",,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,40 to 44 years,"60,594","60,250","59,342","58,328","56,947",,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,45 to 49 years,"67,439","66,433","65,168","63,212","61,520",,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,50 to 54 years,"66,220","66,948","67,371","67,677","68,003",,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,55 to 59 years,"58,325","60,040","62,186","63,935","65,565",,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,60 to 64 years,"53,646","56,102","55,584","56,553","58,108",,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,65 to 69 years,"42,078","43,404","47,320","49,723","52,362",,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,70 to 74 years,"30,936","32,195","34,079","36,650","38,753",,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,75 to 79 years,"23,884","24,112","24,467","25,481","26,619",,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,80 to 84 years,"17,359","17,794","18,102","18,377","18,573",,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,85 years and over,"15,847","16,277","16,813","17,302","17,892",,,,,,,,,,,,,,,,,,,,,,,,,,,
District of Columbia,collapse this categoryTotal,"605,040","620,336","635,630","650,114","660,797",,,,,,,,,,,,,,,,,,,,,,,,,,,
District of Columbia,Under 5 years,"33,275","36,231","38,817","41,175","42,833",,,,,,,,,,,,,,,,,,,,,,,,,,,
District of Columbia,5 to 9 years,"26,156","26,677","28,092","29,758","30,858",,,,,,,,,,,,,,,,,,,,,,,,,,,
District of Columbia,10 to 14 years,"24,939","24,821","25,044","25,420","25,914",,,,,,,,,,,,,,,,,,,,,,,,,,,
District of Columbia,15 to 19 years,"39,760","39,130","38,486","37,574","36,886",,,,,,,,,,,,,,,,,,,,,,,,,,,
District of Columbia,20 to 24 years,"63,314","60,811","58,558","56,634","55,823",,,,,,,,,,,,,,,,,,,,,,,,,,,
District of Columbia,25 to 29 years,"70,566","74,762","78,257","80,246","80,591",,,,,,,,,,,,,,,,,,,,,,,,,,,
District of Columbia,30 to 34 years,"56,232","61,194","65,658","69,902","72,452",,,,,,,,,,,,,,,,,,,,,,,,,,,
District of Columbia,35 to 39 years,"43,226","43,953","45,482","47,841","50,541",,,,,,,,,,,,,,,,,,,,,,,,,,,
District of Columbia,40 to 44 years,"38,038","39,409","40,519","41,220","41,538",,,,,,,,,,,,,,,,,,,,,,,,,,,
District of Columbia,45 to 49 years,"38,619","38,694","38,383","38,088","37,725",,,,,,,,,,,,,,,,,,,,,,,,,,,
District of Columbia,50 to 54 years,"37,269","37,660","37,932","38,559","38,871",,,,,,,,,,,,,,,,,,,,,,,,,,,
District of Columbia,55 to 59 years,"34,489","35,313","35,935","36,612","36,694",,,,,,,,,,,,,,,,,,,,,,,,,,,
District of Columbia,60 to 64 years,"30,053","31,498","31,715","32,033","32,557",,,,,,,,,,,,,,,,,,,,,,,,,,,
District of Columbia,65 to 69 years,"21,619","22,120","23,644","24,794","25,989",,,,,,,,,,,,,,,,,,,,,,,,,,,
District of Columbia,70 to 74 years,"15,568","15,937","16,578","17,287","18,062",,,,,,,,,,,,,,,,,,,,,,,,,,,
District of Columbia,75 to 79 years,"11,808","11,914","12,104","12,354","12,637",,,,,,,,,,,,,,,,,,,,,,,,,,,
District of Columbia,80 to 84 years,"9,699","9,519","9,388","9,374","9,282",,,,,,,,,,,,,,,,,,,,,,,,,,,
District of Columbia,85 years and over,"10,410","10,693","11,038","11,243","11,544",,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,collapse this categoryTotal,"18,846,461","19,097,369","19,341,327","19,584,927","19,897,747",,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,Under 5 years,"1,071,477","1,072,375","1,072,781","1,073,054","1,088,191",,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,5 to 9 years,"1,079,177","1,082,831","1,097,409","1,115,360","1,123,603",,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,10 to 14 years,"1,131,042","1,135,516","1,135,648","1,134,271","1,138,449",,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,15 to 19 years,"1,220,939","1,194,618","1,175,693","1,174,648","1,174,179",,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,20 to 24 years,"1,239,488","1,285,771","1,313,169","1,320,411","1,318,595",,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,25 to 29 years,"1,184,563","1,209,770","1,232,793","1,256,627","1,297,330",,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,30 to 34 years,"1,116,679","1,148,080","1,179,883","1,207,418","1,237,445",,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,35 to 39 years,"1,172,527","1,147,267","1,140,727","1,146,350","1,166,769",,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,40 to 44 years,"1,253,003","1,264,423","1,270,422","1,269,688","1,264,071",,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,45 to 49 years,"1,398,738","1,382,484","1,359,343","1,331,097","1,309,582",,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,50 to 54 years,"1,346,870","1,376,851","1,392,875","1,409,670","1,431,439",,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,55 to 59 years,"1,210,248","1,243,632","1,280,808","1,312,208","1,344,687",,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,60 to 64 years,"1,143,149","1,192,564","1,179,666","1,191,764","1,222,733",,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,65 to 69 years,"964,905","990,691","1,067,134","1,104,226","1,153,154",,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,70 to 74 years,"773,953","797,544","831,922","884,733","925,736",,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,75 to 79 years,"616,422","625,939","640,425","662,760","690,565",,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,80 to 84 years,"484,583","490,965","494,674","496,888","499,504",,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,85 years and over,"438,698","456,048","475,955","493,754","511,715",,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,collapse this categoryTotal,"9,712,696","9,810,595","9,911,171","9,981,773","10,083,850",,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,Under 5 years,"684,785","679,596","671,494","661,418","658,572",,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,5 to 9 years,"694,408","694,994","698,869","703,090","702,391",,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,10 to 14 years,"691,546","699,703","703,046","705,888","710,130",,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,15 to 19 years,"709,848","703,207","699,103","695,041","697,007",,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,20 to 24 years,"684,352","703,055","723,564","728,256","733,521",,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,25 to 29 years,"673,678","674,875","677,475","679,409","694,761",,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,30 to 34 years,"664,203","674,878","682,179","685,364","687,413",,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,35 to 39 years,"693,777","672,408","661,405","657,599","661,628",,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,40 to 44 years,"701,416","711,717","717,710","716,758","708,775",,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,45 to 49 years,"723,325","718,068","710,091","699,836","692,905",,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,50 to 54 years,"671,679","683,811","691,287","698,824","707,102",,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,55 to 59 years,"577,869","593,672","612,126","626,200","638,908",,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,60 to 64 years,"500,963","524,681","523,670","529,487","541,073",,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,65 to 69 years,"359,230","372,549","408,346","429,928","452,655",,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,70 to 74 years,"252,936","263,634","278,599","299,442","315,870",,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,75 to 79 years,"183,761","189,055","194,302","201,471","210,756",,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,80 to 84 years,"129,878","131,996","134,604","136,916","139,541",,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,85 years and over,"115,042","118,696","123,301","126,846","130,842",,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii,collapse this categoryTotal,"1,363,817","1,378,323","1,392,772","1,408,038","1,417,710",,,,,,,,,,,,,,,,,,,,,,,,,,,
