Age,1-Apr-10,,,,,,Population Estimate (as of July 1),,,,,,,,,,,,,,,,,,,,,,,
,Census,,,Estimates Base,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,
,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female
18 to 24 years,"30,672,088","15,661,633","15,010,455","30,674,388","15,663,211","15,011,177","30,763,173","15,712,560","15,050,613","31,082,189","15,891,410","15,190,779","31,378,546","16,064,565","15,313,981","31,498,211","16,140,090","15,358,121","4,688,618","2,390,781","2,297,837","4,729,252","2,415,482","2,313,770","4,676,663","2,399,677","2,276,986","4,587,515","2,358,826","2,228,689"
25 to 44 years,"82,134,554","41,068,090","41,066,464","82,138,457","41,070,782","41,067,675","82,198,062","41,106,516","41,091,546","82,461,340","41,247,037","41,214,303","82,863,483","41,483,645","41,379,838","83,368,888","41,763,468","41,605,420","4,503,882","2,294,465","2,209,417","4,722,239","2,406,023","2,316,216","4,763,194","2,430,677","2,332,517","4,708,854","2,413,370","2,295,484"
45 to 64 years,"81,489,445","39,743,507","41,745,938","81,491,762","39,745,081","41,746,681","81,775,497","39,882,323","41,893,174","82,826,344","40,388,347","42,437,997","82,892,495","40,416,816","42,475,679","83,120,377","40,528,322","42,592,055","4,400,262","2,237,805","2,162,457","4,536,357","2,309,039","2,227,318","4,754,096","2,419,961","2,334,135","4,794,326","2,443,974","2,350,352"
65 years and over,"40,267,984","17,362,960","22,905,024","40,271,219","17,364,050","22,907,169","40,480,893","17,472,432","23,008,461","41,364,200","17,932,374","23,431,826","43,158,388","18,826,563","24,331,825","44,672,695","19,580,630","25,092,065","4,328,101","2,198,515","2,129,586","4,432,055","2,252,182","2,179,873","4,567,423","2,322,801","2,244,622","4,784,135","2,432,679","2,351,456"
85 years and over,"5,493,433","1,789,679","3,703,754","5,495,003","1,790,030","3,704,973","5,543,134","1,810,064","3,733,070","5,701,892","1,884,335","3,817,557","5,878,177","1,966,755","3,911,422","6,014,210","2,035,140","3,979,070","4,348,951","2,205,858","2,143,093","4,358,168","2,212,551","2,145,617","4,461,130","2,265,271","2,195,859","4,595,406","2,335,023","2,260,383"
,,,,,,,,,,,,,,,,,,,"4,386,181","2,217,185","2,168,996","4,377,349","2,219,428","2,157,921","4,385,585","2,225,093","2,160,492","4,487,739","2,277,184","2,210,555"
16 years and over,"243,275,505","118,315,377","124,960,128","243,287,612","118,322,571","124,965,041","243,906,873","118,641,463","125,265,410","246,315,892","119,864,277","126,451,615","248,735,191","121,118,558","127,616,633","251,016,036","122,286,394","128,729,642","4,251,419","2,140,036","2,111,383","4,412,626","2,229,642","2,182,984","4,403,377","2,231,452","2,171,925","4,410,631","2,236,352","2,174,279"
18 years and over,"234,564,071","113,836,190","120,727,881","234,575,826","113,843,124","120,732,702","235,217,625","114,173,831","121,043,794","237,734,073","115,459,168","122,274,905","240,292,912","116,791,589","123,501,323","242,660,171","118,012,510","124,647,661","4,319,291","2,169,862","2,149,429","4,274,952","2,151,514","2,123,438","4,434,930","2,240,172","2,194,758","4,425,408","2,241,759","2,183,649"
15 to 44 years,"125,760,896","63,385,932","62,374,964","125,767,577","63,390,544","62,377,033","125,881,385","63,457,081","62,424,304","126,284,087","63,672,855","62,611,232","126,828,190","63,991,989","62,836,201","127,371,973","64,298,566","63,073,407","4,319,429","2,165,566","2,153,863","4,339,718","2,179,910","2,159,808","4,294,385","2,160,786","2,133,599","4,453,718","2,248,948","2,204,770"
,,,,,,,,,,,,,,,,,,,"4,273,924","2,139,060","2,134,864","4,337,144","2,173,981","2,163,163","4,356,692","2,187,596","2,169,096","4,310,977","2,168,114","2,142,863"
